arch,same_cov_alpha,conflict_alpha,n_rules,test_covered_pct,test_covered_rule_acc,test_rule_acc,reevaluated_test_covered_pct,reevaluated_test_rule_acc,n_conflicts,avg_conditions,rule_json,cart_npz
14x16x8x2,0.1,0.5,38,96.08,81.65,79.39,96.08,79.39,229,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.1_ca0.5_tree.npz
14x16x8x2,0.2,0.5,33,95.3,81.15,79.5,95.3,79.5,159,1.76,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.2_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.2_ca0.5_tree.npz
14x16x8x2,0.3,0.5,32,93.01,82.92,80.78,93.01,80.78,181,1.75,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.3_ca0.5_tree.npz
14x16x8x2,0.4,0.5,31,92.36,82.81,80.55,92.36,80.55,174,1.71,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.4_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.4_ca0.5_tree.npz
14x16x8x2,0.5,0.0,30,92.31,82.85,80.56,92.31,80.56,173,1.7,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.0.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.0_tree.npz
14x16x8x2,0.5,0.1,29,92.21,82.85,80.71,92.21,80.71,173,1.69,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.1_tree.npz
14x16x8x2,0.5,0.2,29,92.21,82.85,80.71,92.21,80.71,173,1.69,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.2.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.2_tree.npz
14x16x8x2,0.5,0.3,29,92.21,82.85,80.71,92.21,80.71,173,1.69,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.3.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.3_tree.npz
14x16x8x2,0.5,0.4,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.4.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.4_tree.npz
14x16x8x2,0.5,0.5,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.5_tree.npz
14x16x8x2,0.5,0.6,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.6.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.6_tree.npz
14x16x8x2,0.5,0.7,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.7.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.7_tree.npz
14x16x8x2,0.5,0.8,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.8.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.8_tree.npz
14x16x8x2,0.5,0.9,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.9.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca0.9_tree.npz
14x16x8x2,0.5,1.0,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.5_ca1.0_tree.npz
14x16x8x2,0.6,0.5,29,90.96,82.45,80.44,90.96,80.44,118,1.72,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.6_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.6_ca0.5_tree.npz
14x16x8x2,0.7,0.5,27,89.19,82.43,80.52,89.19,80.52,112,1.78,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.7_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.7_ca0.5_tree.npz
14x16x8x2,0.8,0.5,26,88.34,82.5,80.57,88.34,80.57,107,1.77,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.8_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.8_ca0.5_tree.npz
14x16x8x2,0.9,0.5,28,78.64,84.11,80.59,78.64,80.59,88,1.89,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.9_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.9_ca0.5_tree.npz
14x16x8x2,1.0,0.5,27,75.77,84.14,80.66,75.77,80.66,80,1.93,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca1.0_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x16x8x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca1.0_ca0.5_tree.npz
14x32x16x2,0.0,0.5,107,99.7,77.36,75.57,99.7,75.57,192,1.67,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.0_ca0.5.json,Adult/figure9_penalty_sweep/artifacts/kd_fc_14x32x16x2_bern_deg3_alpha0.5_T2_lr0.006_wd0.0001_seed6_sca0.0_ca0.5_tree.npz
