dataset,architecture,activation,degree,fold_id,seed,checkpoint_path,recomputed_accuracy_percent,recomputed_train_ce,recomputed_test_ce,stored_accuracy_percent,absolute_accuracy_difference_pp
Adult,14x16x2,relu,,2,8,Adult/student_model_weights/kd_fc_14x16x2_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed8.pth,84.01326699834163,0.32635348810988796,0.3347261020068374,84.01326699834162,1.4210854715202004e-14
Adult,14x16x2,relu,,3,9,Adult/student_model_weights/kd_fc_14x16x2_relu_degNA_alpha0.5_T2_lr0.006_wd0.0001_seed9.pth,83.40519624101714,0.3307055707203066,0.34280220337372713,83.40519624101714,0.0
Adult,14x32x16x2,bern,5.0,4,10,Adult/student_model_weights/kd_fc_14x32x16x2_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed10.pth,84.95301271420675,0.3076451195253465,0.32261262552852854,84.95301271420675,0.0
Adult,14x32x16x2,bern,5.0,0,6,Adult/student_model_weights/kd_fc_14x32x16x2_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed6.pth,85.05251520176893,0.30167540081630806,0.32085567297956574,85.05251520176893,0.0
Adult,14x32x16x2,bern,5.0,1,7,Adult/student_model_weights/kd_fc_14x32x16x2_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed7.pth,84.70978441127694,0.3091734744986067,0.3202031648244694,84.70978441127694,0.0
Adult,14x32x16x2,bern,5.0,2,8,Adult/student_model_weights/kd_fc_14x32x16x2_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed8.pth,84.93090105030403,0.3024340411642362,0.32118569678730435,84.93090105030403,0.0
Adult,14x32x16x2,bern,5.0,3,9,Adult/student_model_weights/kd_fc_14x32x16x2_bern_deg5_alpha0.5_T2_lr0.006_wd0.0001_seed9.pth,84.94195688225538,0.3028017639800794,0.32123113748050647,84.94195688225538,0.0
Adult,14x32x16x2,relu,,4,10,Adult/student_model_weights/kd_fc_14x32x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0.0001_seed10.pth,84.49972360420122,0.31336977637371816,0.3244469171864608,84.49972360420122,0.0
Adult,14x32x16x2,relu,,0,6,Adult/student_model_weights/kd_fc_14x32x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0.0001_seed6.pth,84.54394693200663,0.3132043814291803,0.3287833636475242,84.54394693200663,0.0
Adult,14x32x16x2,relu,,1,7,Adult/student_model_weights/kd_fc_14x32x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0.0001_seed7.pth,84.28966279712549,0.3165240823230904,0.32807296040375766,84.28966279712549,0.0
Adult,14x32x16x2,relu,,2,8,Adult/student_model_weights/kd_fc_14x32x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0.0001_seed8.pth,84.61028192371475,0.3105115856552872,0.32557593748146424,84.61028192371477,1.4210854715202004e-14
Adult,14x32x16x2,relu,,3,9,Adult/student_model_weights/kd_fc_14x32x16x2_relu_degNA_alpha0.85_T2_lr0.006_wd0.0001_seed9.pth,84.44444444444444,0.3105943878719632,0.3276616327336903,84.44444444444444,0.0
